"OUTLET_NAME","HOURS_OPEN","HOURS_CLOSE","STATE"
"Your Aged Care at Home Ltd","0800","1900","NSW"
"Berridale Community Services - Snowy Monaro Regional Council","0700","1900","NSW"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"Resthaven Community Services - Marion","0800","1800","SA"
"Centacare Brisbane South","0600","2030","QLD"
"Jewish Care (NSW)","0700","2030","NSW"
"Westmont Community Care","0600","2030","VIC"
"Regis Home Care Cairns","0830","1730","QLD"
"Regis Home Care Eastern Metro","0830","1730","VIC"
"Resthaven Community Services -  Murray Bridge, Hills and Fleurieu","0800","1800","SA"
"Carealot Home Health Services","0600","2000","WA"
"Resthaven Community Services - Western","0800","1800","SA"
"Ozcare - Ipswich","0600","1800","QLD"
"Presbyterian Aged Care - Illawarra Home Care","0600","2030","NSW"
"Multicultural Aged Care","0900","1800","NSW"
"Presbyterian Aged Care South West Sydney Home Care","0600","2030","NSW"
"Avivo: Live Life Inc - Coral Coast","0600","2030","WA"
"CASS Home Care Package (Chinese, Indonesian, Vietnamese) - Southern Sydney","0800","1800","NSW"
"IAC HOME CARE","0600","2030","WA"
"Right at Home RightCare","0500","2030","QLD"
"ACCA Chinese Home Care Packages - Eastern Sydney","0700","1800","NSW"
"ACCA Chinese Home Care Packages Northern Sydney","0700","1800","NSW"
"ACH Group Home Care - Cambodian Community SA","0700","2000","SA"
"ACH Group Home Care - Cambodian Community SA","0700","2000","SA"
"ACH Group Home Care - Cambodian Community SA","0700","2000","SA"
"ACH Group Home Care - Cambodian Community SA","0700","2000","SA"
"CASS Home Care Package (Korean, mainstream) - Southern Sydney","0800","1800","NSW"
"CASS Home Care Package (Korean, mainstream) - Western Sydney","0800","1800","NSW"
"Home Instead Senior Care Bayside and Logan","0500","2030","QLD"
"Best In Care Australia","0500","2030","QLD"
"Aged Care - Your Life Your Way - Illawarra","0600","2030","NSW"
"Multicultural Aged Care","0730","1800","NSW"
"PresCare Community Care - Strathpine","0600","1800","QLD"
"PresCare Community Care - Strathpine","0600","1800","QLD"
"PresCare Community Care - Strathpine","0600","1800","QLD"
"PresCare Community Care Gold Coast","0600","1800","QLD"
"PresCare Community Care Gold Coast","0600","1800","QLD"
"PresCare Community Care Gold Coast","0600","1800","QLD"
"Australian Unity Home Care Service - Armidale","0600","2000","NSW"
"Australian Unity Home Care Service - Ballina","0600","2000","NSW"
"Australian Unity Home Care Service - Dapto","0600","2000","NSW"
"Australian Unity Home Care Service - Corowa","0600","2000","NSW"
"Australian Unity Home Care Service - Dubbo","0600","2000","NSW"
"Australian Unity Home Care Service - Deniliquin","0600","2000","NSW"
"Australian Unity Home Care Service - Epping","0600","2000","NSW"
"Australian Unity Home Care Service - Aboriginal Home Care - Glen Innes","0600","2000","NSW"
"Australian Unity Home Care Service - Hawkesbury","0600","2000","NSW"
"Australian Unity Home Care Service - Gosford/Wyong","0600","2000","NSW"
"Australian Unity Home Care Service - Griffith","0600","2000","NSW"
"Australian Unity Home Care Service - St George","0600","2000","NSW"
"White Oak Home Care - East Metro","0600","2000","WA"
"Australian Unity Home Care Service - Lightning Ridge","0600","2000","NSW"
"Australian Unity Home Care Service - Kempsey","0600","2000","NSW"
"Australian Unity Home Care Service - Lismore","0600","2000","NSW"
"Australian Unity Home Care Service - Leeton","0600","2000","ACT"
"White Oak Home Care - East Metro","0600","2000","WA"
"Australian Unity Home Care Service - Lawson/Blue Mountains","0600","2000","NSW"
"Australian Unity Home Care Service - Maitland","0600","2000","NSW"
"9301 0299 White Oak Home Care","0600","2000","WA"
"Australian Unity Home Care Service - Aboriginal Home Care - Parkes","0600","2000","NSW"
"Australian Unity Home Care Service - Penrith","0600","2000","NSW"
"Australian Unity Home Care Service - Queanbeyan","0600","2000","NSW"
"Australian Unity Home Care Service - Port Macquarie","0600","2000","NSW"
"Australian Unity Home Care Service - Walcha","0600","2000","NSW"
"Australian Unity Home Care Service - Aboriginal Home Care - Dareton","0600","2000","NSW"
"Australian Unity Home Care Service - Tamworth","0600","2000","NSW"
"Australian Unity Home Care Service - Richmond Valley","0600","2000","NSW"
"Australian Unity Home Care Service - Dee Why","0600","2000","NSW"
"Australian Unity Home Care Service - Wagga Wagga","0600","2000","NSW"
"Australian Unity Home Care Service - Tweed Heads","0600","2000","QLD"
"Australian Unity Home Care Service - Grafton","0600","2000","NSW"
"Hastings District Respite Care",NaN,NaN,"NSW"
"Kare Seniors -Home Care Package Level 1,2,3,4 ( Less Fees Means More Services )","0900","1700","VIC"
"MultiLink Community Care","0600","1900","QLD"
"Parkglen Home Care Services","0500","2030","VIC"
"Nandebri Home Nursing Pty Ltd","0700","1730","NSW"
"Auspire Care - QLD","0500","2030","QLD"
"IWAA - Sydney",NaN,NaN,"QLD"
"Gabeth Pty Ltd","0500","2030","SA"
"OzPol Services - Brisbane South","0600","2000","QLD"
"All Aged Care - Cabool","0600","2000","QLD"
"1300 303 770 - Australian Home Care Services - VIC","0700","2030","VIC"
"1300 303 770 - Australian Home Care Services - VIC","0700","2030","VIC"
"1300 303 770 - Australian Home Care Services - VIC","0700","2030","VIC"
"1300 303 770 - Australian Home Care Services - VIC","0700","2030","VIC"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"1300 303 770 - Australian Home Care Services - NSW","0700","2030","NSW"
"Carers Link","0830","1700","QLD"
"Greek Home Care Packages","0700","1900","SA"
"365 Care","0500","2030","NSW"
"Multicultural Aged Care","0730","1800","NSW"
"Umbrella North Metro Services","0800","1700","WA"
"Umbrella South East Metro Services","0800","1700","WA"
"Gippsland Care Services","0700","2000","VIC"
"Just-For-U","0500","2030","VIC"
