"","id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR","CLOSE_HOUR","WEEKENDS","EVENINGS","dementia","reable","respite","terminal","mental_health","WEBSITE","MAIN_EMAIL","MAIN_PHONE","PUB_HOLIDAYS","lat","lng"
"1",1,"Your Aged Care at Home Ltd","49-51 STANLEY Street, BANKSTOWN, 2200, NSW","NSW",2200,"BANKSTOWN","08:00","19:00",TRUE,TRUE,"dementia","reablement","respite","terminal","FALSE","http://youragedcare.org","manager@youragedcare.org","+610287643669",TRUE,-33.9204441,151.0357114
"2",2,"Berridale Community Services Snowy Monaro Regional Council","Shop1 Jindabyne Road, BERRIDALE, 2628, NSW","NSW",2628,"BERRIDALE","07:00","19:00",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","http://www.snowymonaro.nsw.gov.au","tabitha.williams@snowymonaro.nsw.gov.au","+610264511059",TRUE,-36.3662299,148.8263377
"3",3,"Brotherhood of St Laurence Aged Care Home Care Packages","2-4 OVERTON Road, FRANKSTON, 3199, VIC","VIC",3199,"FRANKSTON","09:00","17:00",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","http://agedcare.bsl.org.au","agedcare@bsl.org.au","+611300147147",TRUE,-38.1297886,145.126244
"4",4,"Resthaven Community Services Marion","43 Finniss Street, MARION, 5043, SA","SA",5043,"MARION","08:00","18:00",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","marioncs@resthaven.asn.au","+610882964042",TRUE,-35.0115108,138.5533531
"5",5,"Centacare Brisbane South","50 CLEVELAND Street, GREENSLOPES, 4120, QLD","QLD",4120,"GREENSLOPES","06:00","20:30",TRUE,TRUE,"dementia","reablement","respite","FALSE","mental","http://www.centacarebrisbane.net.au","intake@bne.centacare.net.au","+611300236822",TRUE,-27.4999983,153.0445153
"6",6,"Jewish Care ","3 SABER Street, WOOLLAHRA, 2025, NSW","NSW",2025,"WOOLLAHRA","07:00","20:30",TRUE,TRUE,"dementia","reablement","respite","FALSE","mental","http://www.jewishcare.com.au/aged-care/consumer-directed-care","firstcall@jewishcare.com.au","+611300133660",TRUE,-33.8904137,151.2479962
"7",7,"Westmont Community Care","11 McFarland Road, WODONGA, 3690, VIC","VIC",3690,"WODONGA","06:00","20:30",TRUE,TRUE,"dementia","reablement","respite","terminal","FALSE","http://westmont.org.au","communitycare@westmont.org.au","+610260439867",TRUE,-36.1360319,146.8697821
"8",8,"Regis Home Care Cairns","15 SHORT Street, REDLYNCH, 4870, QLD","QLD",4870,"REDLYNCH","08:30","17:30",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","https://homecare.regis.com.au/locations/cairns/","referrals@regis.com.au","+611300188740",TRUE,-16.8896891,145.6980772
"9",9,"Regis Home Care Eastern Metro","220 Middleborough Road, BLACKBURN SOUTH, 3130, VIC","VIC",3130,"BLACKBURN SOUTH","08:30","17:30",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","https://homecare.regis.com.au/locations/eastern-metro-melbourne/","referrals@regis.com.au","+611300188740",TRUE,-37.8369636,145.1355337
"10",10,"Resthaven Community Services Murray Bridge Hills and Fleurieu","88 ADELAIDE Road, MURRAY BRIDGE, 5253, SA","SA",5253,"MURRAY BRIDGE","08:00","18:00",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","mbhcs@resthaven.asn.au","+610885312989",TRUE,-35.1235009,139.2660672
"11",11,"Carealot Home Health Services","666 STIRLING Highway, MOSMAN PARK, 6012, WA","WA",6012,"MOSMAN PARK","06:00","20:00",TRUE,TRUE,"dementia","reablement","respite","terminal","mental","http://www.carealot.com.au","b.macleod@carealot.com.au","+610892847562",TRUE,-32.0110185,115.7558785
