"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR","CLOSE_HOUR","WEEKENDS","EVENINGS","dementia","reable","respite","terminal","mental_health","WEBSITE","MAIN_EMAIL","MAIN_PHONE","PUB_HOLIDAYS","DESCRIPTION","RELIGION"
1,"Your Aged Care at Home Ltd","49-51 STANLEY Street, BANKSTOWN, 2200, NSW","NSW",2200,"BANKSTOWN","08:00","19:00","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://youragedcare.org","manager@youragedcare.org","+610287643669","TRUE","Your Aged Care at Home provides both subsidised and private home care services and support to people living in the Inner West, South West, North and Western Sydney Regions. As a registered charity and public benevolent institution, our service rates are highly competitive and negotiable depending on your individual circumstances. We offer a wide range of services including personal care, domestic assistance, meal preparation, transport, shopping, pet therapy, social support, gardening and lawn mowing as well as prescribed exercise and walking programs. Your Aged Care at Home strives for excellence in all areas of service provision and client satisfaction. We hope to hear from you soon if you are seeking a concierge service tailored to your special requirements","Baptist, Catholic, Christian, Islam, Lutheran"
2,"Berridale Community Services Snowy Monaro Regional Council","Shop1 Jindabyne Road, BERRIDALE, 2628, NSW","NSW",2628,"BERRIDALE","07:00","19:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.snowymonaro.nsw.gov.au","tabitha.williams@snowymonaro.nsw.gov.au","+610264511059","TRUE","",""
3,"Brotherhood of St Laurence Aged Care Home Care Packages","2-4 OVERTON Road, FRANKSTON, 3199, VIC","VIC",3199,"FRANKSTON","09:00","17:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://agedcare.bsl.org.au","agedcare@bsl.org.au","+611300147147","TRUE","For over 80 years the Brotherhood of St Laurence has worked with and supported people of all ages to live a good life. We believe that at every stage of life people should be safe, valued, connected to the wider community and able to participate in activities of choice.

Staying at home offers the benefit of keeping you in familiar surroundings and in touch with the people and places you value. We will connect you with an Advisor who will take the time to get to know you well. They will work with you in identifying your needs and aspirations, and create a plan that supports you in remaining happy, healthy and safe at home. Call us on 1300 147 147 for expert advice.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
4,"Resthaven Community Services Marion","43 Finniss Street, MARION, 5043, SA","SA",5043,"MARION","08:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","marioncs@resthaven.asn.au","+610882964042","TRUE","When you choose Resthaven, we work with you to meet your needs and goals as you get older.

Resthaven, a trusted SA aged care provider since 1935, provides in home tailored services, chosen by you to suit your needs. You design services and how your individual budget is used. We support family carers; listening to their views. Your package may include, but is not limited to, personal care, nursing, social support, domestic and shopping assistance, home maintenance, and transport. Resthaven responds to your cultural and diverse lifestyle needs.

Marion Community Services provide home care, wellbeing services (individual and group therapy), centre-based and in-home carer respite. We employ friendly local workers, trained in home care, clinical care and working with people with dementia. Our customers say our workers are our best asset.

For more information, call 1300 13 66 33 or visit www.resthaven.asn.au","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
5,"Centacare Brisbane South","50 CLEVELAND Street, GREENSLOPES, 4120, QLD","QLD",4120,"GREENSLOPES","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","mental","http://www.centacarebrisbane.net.au","intake@bne.centacare.net.au","+611300236822","TRUE","For 30 years Centacare has provided quality and caring support to help people live life the way they want to. Having a home care package with us will enable you to tailor care to suit your individual circumstances. Our packages include: 

1. A dedicated case manager who will assist you to meet your goals and identify and respond to your changing needs

2. Quality care provided by fully trained and qualified support staff

3. Flexible services available seven days a week and the ability to respond to requests for changes at short notice 

4. Peace of mind in knowing that after hours support is available

5. An extensive range of services and activities tailored to meet your individual needs including access to additional Centacare services such as home safety assessments, yard maintenance, heavy duty house cleaning, family and relationship services, grief and carer support, the Award winning ‘Share the Care’ program which supports carers, overnight cottage respite and transport services","Catholic"
6,"Jewish Care ","3 SABER Street, WOOLLAHRA, 2025, NSW","NSW",2025,"WOOLLAHRA","07:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","mental","http://www.jewishcare.com.au/aged-care/consumer-directed-care","firstcall@jewishcare.com.au","+611300133660","TRUE","We employ caring, qualified and trained care workers committed to providing the best service to you.  A recent independent survey conducted by the Voice organisation found that over 80% of our clients were  satisfied or extremely satisfied with the services  received from JewishCare. 

Our case managers will work with you  to ensure you get the best value out of your Home Care Package. Together we will devise a personalised plan  reflecting what YOU want your home care services to achieve. 

Our awareness of Jewish cultural  sensitivities is without peer but we also transfer these practices to clients from all cultural backgrounds. 

JewishCare has a large range of    complementary services most of which are provided at no cost. These include access to an occupational therapist who will visit your home to ensure your safety. Our volunteers and  Friendship Clubs  are a great way to ensure you stay connected to the community. Our prices are very competitive and we aim to meet your needs.","Anglican, Baptist, Buddhism, Catholic, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Oriental Orthodox, Other Christian, Presbyterian and Reformed, Seventh-day Adventist"
7,"Westmont Community Care","11 McFarland Road, WODONGA, 3690, VIC","VIC",3690,"WODONGA","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://westmont.org.au","communitycare@westmont.org.au","+610260439867","TRUE","Westmont Community Care provides Home Care Package services that are planned and designed to meet your individual needs.",""
8,"Regis Home Care Cairns","15 SHORT Street, REDLYNCH, 4870, QLD","QLD",4870,"REDLYNCH","08:30","17:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://homecare.regis.com.au/locations/cairns/","referrals@regis.com.au","+611300188740","TRUE","When you want to stay in your own home, but you need a little extra support – Regis Home Care is here to help.



Regis Home Care provides in-home care services with a  difference.  Through a support network that extends across Australia, our number one aim is to ensure you get the assistance you need to continue living in the comfort of your own home.



We’re here to provide you with the support you need to stay at home, living life on your terms. 



We do this through providing high quality home care services as varied as your specific needs; from basic help at home including cooking, shopping and cleaning, through to comprehensive assistance in showering, dressing, transportation and much more. Servicing Cairns and Surrounds","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
9,"Regis Home Care Eastern Metro","220 Middleborough Road, BLACKBURN SOUTH, 3130, VIC","VIC",3130,"BLACKBURN SOUTH","08:30","17:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://homecare.regis.com.au/locations/eastern-metro-melbourne/","referrals@regis.com.au","+611300188740","TRUE","When you want to stay in your own home, but you need a little extra support – Regis Home Care is here to help.



Regis Home Care provides in-home care services with a  difference.  Through a support network that extends across Australia, our number one aim is to ensure you get the assistance you need to continue living in the comfort of your own home.



We’re here to provide you with the support you need to stay at home, living life on your terms. 



We do this through providing high quality home care services as varied as your specific needs; from basic help at home including cooking, shopping and cleaning, through to comprehensive assistance in showering, dressing, transportation and much more. Servicing Melbourne Eastern Suburbs and surrounds","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
10,"Resthaven Community Services Murray Bridge Hills and Fleurieu","88 ADELAIDE Road, MURRAY BRIDGE, 5253, SA","SA",5253,"MURRAY BRIDGE","08:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","mbhcs@resthaven.asn.au","+610885312989","TRUE","When you choose Resthaven, we work with you to meet your needs and goals as you get older.

Resthaven, a trusted SA aged care provider since 1935, provides in home tailored services, chosen by you to suit your needs. You design services and how your individual budget is used. We support family carers; listening to their views. Your package may include, but is not limited to, personal care, nursing, social support, domestic and shopping assistance, home maintenance, and transport. Resthaven responds to your diverse lifestyle needs. We have experience working with Aboriginal people, respecting culture and partnering with family.

Resthaven Murray Bridge, Hills, and Fleurieu Community Services provide home care, wellbeing services, and carer respite. We employ friendly local workers, trained in home care, clinical care and working with people with dementia. Our customers say our workers are our best asset.

For more information, call 1300 13 66 33 or visit www.resthaven.asn.au","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
