"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR_M","CLOSE_HOUR_M","WEEKENDS","EVENINGS"
1,"Your Aged Care at Home Ltd"," BANKSTOWN 2200 NSW","NSW",2200,"BANKSTOWN","0800","1900","TRUE","TRUE"
2,"Berridale Community Services - Snowy Monaro Regional Council"," Berridale 2628 NSW","NSW",2628,"Berridale","0700","1900","TRUE","TRUE"
3,"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages"," FRANKSTON 3199 VIC","VIC",3199,"FRANKSTON","0900","1700","TRUE","TRUE"
4,"Resthaven Community Services - Marion"," MARION 5043 SA","SA",5043,"MARION","0800","1800","TRUE","TRUE"
5,"Centacare Brisbane South"," GREENSLOPES 4120 QLD","QLD",4120,"GREENSLOPES","0600","2030","TRUE","TRUE"
6,"Jewish Care (NSW)"," WOOLLAHRA 2025 NSW","NSW",2025,"WOOLLAHRA","0700","2030","TRUE","TRUE"
7,"Westmont Community Care"," WODONGA 3690 VIC","VIC",3690,"WODONGA","0600","2030","TRUE","TRUE"
8,"Regis Home Care Cairns"," REDLYNCH 4870 QLD","QLD",4870,"REDLYNCH","0830","1730","TRUE","TRUE"
9,"Regis Home Care Eastern Metro"," Blackburn South 3130 VIC","VIC",3130,"Blackburn South","0830","1730","TRUE","TRUE"
10,"Resthaven Community Services -  Murray Bridge, Hills and Fleurieu"," MURRAY BRIDGE 5253 SA","SA",5253,"MURRAY BRIDGE","0800","1800","TRUE","TRUE"
11,"Carealot Home Health Services"," MOSMAN PARK 6012 WA","WA",6012,"MOSMAN PARK","0600","2000","TRUE","TRUE"
12,"Resthaven Community Services - Western"," WOODVILLE 5011 SA","SA",5011,"WOODVILLE","0800","1800","TRUE","TRUE"
13,"Ozcare - Ipswich"," BOOVAL 4304 QLD","QLD",4304,"BOOVAL","0600","1800","TRUE","TRUE"
